step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
5069,2023-07-03 13:30:29.265857871,1,193.66,6.0,-0.27641631132724787,0.23960631132723764,0.020000000000010232,0.01681
5070,2023-07-03 13:30:29.265857871,1,193.66,6.0,-0.062208218204311806,0.025398218204301576,0.020000000000010232,0.01681
5071,2023-07-03 13:30:29.265857871,1,193.66,8.0,-0.290792182043026,0.25398218204301576,0.020000000000010232,0.01681
5073,2023-07-03 13:30:29.487050650,1,193.69,8.0,-0.1730016319490582,0.15656513194905822,0.0,0.0164365
5074,2023-07-03 13:30:30.080916399,1,193.69,6.0,-0.27072258204301575,0.25398218204301576,0.0,0.0167404
5075,2023-07-03 13:30:30.080916399,1,193.69,6.0,-0.05265890464463453,0.03591850464463453,0.0,0.0167404
5076,2023-07-03 13:30:30.080919835,1,193.69,3.0,-0.05196321820429248,0.025398218204301576,0.009999999999990905,0.016565
5077,2023-07-03 13:30:30.542563671,1,193.69,13.0,-0.290451482043026,0.25398218204301576,0.020000000000010232,0.0164693
5078,2023-07-03 13:30:30.981050092,1,193.71,4.0,-0.5248830640860315,0.5079643640860315,0.0,0.0169187
5079,2023-07-03 13:30:30.981050092,1,193.72,3.0,-0.1439097910215079,0.12699109102150788,0.0,0.0169187
5080,2023-07-03 13:30:30.981050092,1,193.72,13.0,-0.37610374644634526,0.35918504644634525,0.0,0.0169187
5081,2023-07-03 13:30:30.981050092,1,193.72,10.0,-0.28090088204300667,0.25398218204301576,0.009999999999990905,0.0169187
5082,2023-07-03 13:30:30.981050092,1,193.73,7.0,-0.2469093476624037,0.22999064766240368,0.0,0.0169187
5083,2023-07-03 13:30:30.981323354,1,193.72,10.0,-0.290509382043026,0.25398218204301576,0.020000000000010232,0.0165272
5084,2023-07-03 13:30:30.981396942,1,193.72,12.0,-0.2706676820430158,0.25398218204301576,0.0,0.0166855
5085,2023-07-03 13:30:30.981396942,1,193.74,11.0,-0.14367659102150787,0.12699109102150788,0.0,0.0166855
5086,2023-07-03 13:30:30.981396942,1,193.74,8.0,-0.09700171803554472,0.08031621803554471,0.0,0.0166855
5087,2023-07-03 13:30:30.982716282,1,193.73,10.0,-0.16013031857853813,0.14367401857853812,0.0,0.0164563
5088,2023-07-03 13:30:30.983284235,1,193.71,13.0,-0.2804205820430067,0.25398218204301576,0.009999999999990905,0.0164384
5089,2023-07-03 13:30:30.983398029,1,193.7,5.0,-0.290608482043026,0.25398218204301576,0.020000000000010232,0.0166263
5090,2023-07-03 13:30:30.983398029,2,193.7,7.0,-0.07254480464464476,0.03591850464463453,0.020000000000010232,0.0166263
5091,2023-07-03 13:30:30.983703732,1,193.7,10.0,-0.06241520464465386,0.03591850464463453,0.010000000000019327,0.0164967
5092,2023-07-03 13:30:30.983760344,1,193.7,7.0,-0.277944832512461,0.25142953251244166,0.010000000000019327,0.0165153
5093,2023-07-03 13:30:30.983760344,1,193.7,9.0,-0.062433804644653854,0.03591850464463453,0.010000000000019327,0.0165153
5094,2023-07-03 13:30:31.045507256,1,193.68,5.0,-0.11677291803552653,0.08031621803554471,0.01999999999998181,0.0164567
5095,2023-07-03 13:30:31.172452278,1,193.69,3.0,-0.12119383635882071,0.10471953635882071,0.0,0.0164743
5096,2023-07-03 13:30:31.172482147,1,193.69,9.0,-0.1409929499528114,0.12442534995281139,0.0,0.0165676
5097,2023-07-03 13:30:31.429972155,1,193.69,9.0,-0.11484287612860206,0.09836687612860205,0.0,0.016476
5098,2023-07-03 13:30:31.542629743,2,193.68,12.0,-0.2804068820430067,0.25398218204301576,0.009999999999990905,0.0164247
